review_id,predicted_filtered,confidence,primary_signal,reasoning
499014,False,0.75,reviewer_pattern,"Reviewer shows a mild posting burst and the business (same one as an earlier clean case in this batch) has a moderate trend uptick — not alarming individually, but the combination lowers confidence somewhat versus a fully clean case."
308130,False,0.75,reviewer_pattern,"Singleton reviewer, but a short, plausible complaint with no business burst or templated language to corroborate suspicion."
540958,False,0.85,combination,"Real rating variance, business well below normal review pace, specific verifiable detail (exact bill amount) — reads authentic."
5602,False,0.8,reviewer_pattern,"Singleton reviewer, but a balanced review (praises food, criticizes only service) with mild business trend — reads like genuine mixed feedback."
78124,False,0.85,reviewer_pattern,"Reviewer shows very high rating variance (std 2.0) across their history — a strong authenticity signal, since fake accounts rarely show genuinely mixed opinions. Business is quiet, no burst."
14643,False,0.8,combination,"Moderate business burst, but reviewer has real established history and rating is unremarkable (4/5) rather than extreme — plausible organic upswing at an established business."
579838,False,0.85,combination,"Established reviewer over multiple years, mild business trend, low similarity, and a specific verifiable detail (a TV personality's visit) — reads authentic."
234681,False,0.88,combination,"Real rating variance, business well below normal pace, balanced pros/cons review that references awareness of other Yelp posts — reads genuine."
587840,False,0.72,text_similarity,"Singleton reviewer with a moderately similar closing phrase to another business review, but the phrase is generic enough and no business burst corroborates a campaign."
382756,False,0.95,combination,"Highly established, prolific reviewer (184 reviews) with a distinctive personal voice and real rating variance — about as clean as evidence gets."
425863,False,0.68,reviewer_pattern,"Very short negative review from a singleton account is mildly thin evidence, but short one-time venting is a common genuine pattern; business shows no burst."
4870,False,0.8,reviewer_pattern,"Singleton reviewer, but business is calm (well below-normal pace) and the text is specific and detailed."
395856,False,0.92,combination,"Active reviewer with real variance, business at essentially normal pace, specific pricing details — clean and genuine."
73632,False,0.75,reviewer_pattern,"Singleton reviewer plus a mild business burst is a bit more than baseline, though the moderate text similarity looks like normal shared enthusiasm for a popular spot rather than templating."
598576,False,0.85,combination,"This reviewer's other reviews are all a perfect 5.0, but they rated this review 3 stars with specific, detailed criticism — a genuine deviation from their own baseline is a strong authenticity signal, not a red flag."
24698,False,0.65,text_similarity,"Elevated similarity to the reviewer's one other review (both are detailed critical food reviews) keeps confidence moderate, but the specific, differentiated complaint (naming staff issues, specific menu item) and the differentiated rating from their other review read as genuine."
341985,True,0.68,combination,This reviewer has given a perfect 5.0 rating with zero variance across all 9 other reviews — unusually uniform — combined with the business showing a 3.84x review-velocity spike right now. The lack of any rating differentiation plus the real-time burst together outweigh the moderate text similarity.
211781,False,0.8,reviewer_pattern,"Singleton reviewer, but business is calm and the text has specific dish knowledge and a genuine typo."
334591,False,0.78,combination,"Reviewer's ratings are uniform (always 4.0) but not extreme, sparse posting pattern, mild business trend, and highly specific dish-by-dish detail — reads as a genuine enthusiast, not a template."
83167,False,0.88,combination,"Established reviewer with real rating variance, tiny quiet business, unremarkable similarity — clean."
497029,False,0.9,combination,"Reviewer shows real rating variance across history, business trend is normal, specific complaint about a named staff interaction — clean and genuine."
79637,False,0.85,combination,"Sparse but real reviewer history, mild business trend, specific price and dish detail with a self-deprecating aside — reads authentic."
328478,False,0.72,reviewer_pattern,"Singleton reviewer is a weak signal alone; business shows only a mild trend uptick, not a real spike."
602128,False,0.85,combination,"Established reviewer, moderate business trend, low text similarity, and a lukewarm (not extreme) rating — reads like ordinary genuine feedback."
110174,False,0.78,reviewer_pattern,"Singleton reviewer and a mild burst ratio, but the business is tiny (10 reviews total) so the ratio is noisy at that volume; the complaint itself is oddly specific (an owner not wearing gloves) in a way that's hard to fabricate."
266030,False,0.85,reviewer_pattern,Very sparse posting (397-day gap) is a casual real-user pattern; business trend is normal; text is specific and personally detailed.
282928,False,0.65,text_similarity,"Notably high self-similarity (0.573) across this reviewer's own reviews, all following a similar 'lunch special' structure — but the business itself shows zero unusual activity, and the account has real prior history over weeks, which doesn't fit the coordinated-campaign pattern (thin/new account + business spike). Reads more like one person's repetitive personal review template than fraud, but confidence is lowered by the similarity."
